id,required_skills,candidate_skills,degree,years_experience,overlap,fit,probability,missing_skills
FIT0249,"AWS, Django, Docker, GCP, REST, React, TensorFlow","CI/CD, Docker, ETL, Kubernetes, Linux, Scikit-learn, Tableau",Bachelors,2.6,1.0,0.0,0.328,"AWS, Django, GCP, REST, React, TensorFlow"
FIT0250,"Flask, Git, GraphQL, Java, Kubernetes, Linux, Scikit-learn","GraphQL, Node.js, NumPy, Pandas, R, React, SQL, Spark, TensorFlow, TypeScript",Masters,0.0,1.0,1.0,0.31,"Flask, Git, Java, Kubernetes, Linux, Scikit-learn"
FIT0251,"Excel, Flask, Git, PyTorch, TensorFlow","Azure, Docker, Excel, Hadoop, Java, Kubernetes, PyTorch, R, Tableau",Bachelors,3.2,2.0,0.0,0.446,"Flask, Git, TensorFlow"
FIT0252,"Django, Docker, Excel, Hadoop, Power BI, R, Scikit-learn, TypeScript","Airflow, ETL, Excel, JavaScript, Pandas, Scikit-learn, TypeScript",Bachelors,3.5,3.0,1.0,0.555,"Django, Docker, Hadoop, Power BI, R"
FIT0253,"Azure, ETL, JavaScript, Scikit-learn, Spark, TensorFlow","Airflow, CI/CD, Excel, Kubernetes, Power BI, PyTorch, R, REST, React, Spark",Bachelors,7.0,1.0,1.0,0.46,"Azure, ETL, JavaScript, Scikit-learn, TensorFlow"
FIT0254,"Airflow, Docker, GCP, Java, PyTorch","Airflow, CI/CD, Scikit-learn, TypeScript",Bachelors,3.8,1.0,0.0,0.364,"Docker, GCP, Java, PyTorch"
FIT0255,"AWS, GCP, Git, Linux, Python, Scikit-learn","Docker, Flask, GCP, Git, Hadoop, JavaScript, Linux, NumPy, Python, R",Bachelors,2.8,4.0,0.0,0.634,"AWS, Scikit-learn"
FIT0256,"Docker, Java, Linux, SQL, TensorFlow","GCP, Hadoop, Linux, R, Tableau, TypeScript",Bachelors,1.9,1.0,0.0,0.307,"Docker, Java, SQL, TensorFlow"
FIT0257,"Excel, GraphQL, Hadoop, NumPy, Pandas, Python, R, SQL","Git, Kubernetes, NumPy, Pandas, PyTorch, SQL, TensorFlow, TypeScript",Bachelors,0.0,3.0,1.0,0.45,"Excel, GraphQL, Hadoop, Python, R"
FIT0258,"Azure, CI/CD, ETL, Excel, Node.js, NumPy","CI/CD, ETL, Node.js, Tableau",Bachelors,3.0,3.0,0.0,0.54,"Azure, Excel, NumPy"
FIT0259,"Java, JavaScript, Kubernetes, NumPy, Pandas","Django, GraphQL, Linux, React, Spark",PhD,4.7,0.0,0.0,0.351,"Java, JavaScript, Kubernetes, NumPy, Pandas"
FIT0260,"AWS, Azure, Docker, GraphQL, Java, JavaScript, REST, Scikit-learn","Django, GCP, Hadoop, Linux, NumPy, Python, TensorFlow",Bachelors,4.7,0.0,0.0,0.291,"AWS, Azure, Docker, GraphQL, Java, JavaScript, REST, Scikit-learn"
FIT0261,"Airflow, Docker, ETL, Kubernetes, REST","AWS, Django, JavaScript, Linux, Power BI, R, Scikit-learn, Spark, Tableau, TensorFlow",,4.6,0.0,0.0,0.348,
FIT0262,"ETL, GCP, Node.js, NumPy, R, TypeScript","Azure, Django, Flask, Git, GraphQL, Kubernetes, Linux, PyTorch, React, Scikit-learn",Bachelors,7.8,0.0,1.0,0.384,"ETL, GCP, Node.js, NumPy, R, TypeScript"
FIT0263,"Azure, CI/CD, GCP, Hadoop, Node.js, R, REST, TypeScript","AWS, ETL, GCP, Git, Pandas, REST",Bachelors,4.4,2.0,0.0,0.482,"Azure, CI/CD, Hadoop, Node.js, R, TypeScript"
FIT0264,"CI/CD, Django, GCP, Node.js, PyTorch, Python, R","AWS, Flask, NumPy, Python, SQL, TensorFlow, TypeScript",Bachelors,4.9,1.0,0.0,0.397,"CI/CD, Django, GCP, Node.js, PyTorch, R"
FIT0265,"AWS, Django, Docker, Hadoop, JavaScript, REST, Scikit-learn","ETL, Excel, GCP, GraphQL, Kubernetes, Node.js, SQL, TensorFlow",PhD,3.6,0.0,0.0,0.318,"AWS, Django, Docker, Hadoop, JavaScript, REST, Scikit-learn"
FIT0266,"Docker, ETL, GCP, Pandas, Python, Spark","NumPy, PyTorch, Tableau, TypeScript",Masters,4.0,0.0,0.0,0.33,"Docker, ETL, GCP, Pandas, Python, Spark"
FIT0267,"CI/CD, Hadoop, Node.js, Pandas, REST, SQL","Airflow, GraphQL, Kubernetes, PyTorch, Python, React",No Degree,3.1,0.0,0.0,0.243,
,"ETL, Flask, Java, REST, React","Excel, GCP, Linux, Python, Scikit-learn",Masters,2.9,0.0,0.0,0.297,"ETL, Flask, Java, REST, React"
FIT0269,"Azure, CI/CD, GraphQL, Node.js, NumPy, Tableau","Airflow, CI/CD, Django, Excel, Hadoop, Node.js, R, React, Tableau, TensorFlow",PhD,4.4,3.0,1.0,0.642,"Azure, GraphQL, NumPy"
FIT0270,"CI/CD, Excel, Git, GraphQL, Java, Python, R","Azure, JavaScript, Pandas, PyTorch, REST, Spark",Bachelors,2.4,0.0,0.0,0.222,"CI/CD, Excel, Git, GraphQL, Java, Python, R"
FIT0271,"Airflow, Excel, Git, Kubernetes, Power BI, TensorFlow","Airflow, Azure, Hadoop, TensorFlow",Bachelors,6.7,2.0,0.0,0.551,"Excel, Git, Kubernetes, Power BI"
FIT0272,"Azure, Excel, Linux, Node.js, REST, Tableau, TypeScript","AWS, NumPy, REST, Tableau",Bachelors,5.3,2.0,,0.509,"Azure, Excel, Linux, Node.js, TypeScript"
FIT0273,"Power BI, PyTorch, React, Scikit-learn, TensorFlow","AWS, Docker, GCP, Git",Masters,3.4,0.0,0.0,0.312,"Power BI, PyTorch, React, Scikit-learn, TensorFlow"
FIT0274,"AWS, CI/CD, ETL, Flask, JavaScript, Scikit-learn, Spark, Tableau",,Bachelors,6.1,,,0.433,"AWS, CI/CD, ETL, JavaScript, Scikit-learn, Spark, Tableau"
FIT0275,"ETL, Kubernetes, Node.js, Scikit-learn, Tableau","CI/CD, Docker, Excel, GCP, NumPy, Pandas, R, Scikit-learn",PhD,3.6,1.0,1.0,0.418,"ETL, Kubernetes, Node.js, Tableau"
FIT0276,"Airflow, GCP, Git, JavaScript, Spark","AWS, Airflow, Azure, Django, Flask, Kubernetes, Linux, Power BI, REST",Masters,4.3,1.0,0.0,0.439,"GCP, Git, JavaScript, Spark"
FIT0277,"AWS, GCP, Java, Node.js, React, Spark","Docker, Excel, Git, GraphQL, Node.js, Pandas, R, SQL, Scikit-learn, Spark",Bachelors,0.0,2.0,0.0,0.35,"AWS, GCP, Java, React"
FIT0278,"Azure, Excel, GraphQL, Java, Kubernetes, Node.js, Pandas, Scikit-learn","Airflow, CI/CD, Excel, Git, GraphQL, JavaScript, Kubernetes, PyTorch, Tableau",Masters,4.8,3.0,1.0,0.654,"Azure, Java, Node.js, Pandas, Scikit-learn"
FIT0279,"CI/CD, Excel, Hadoop, Node.js, Pandas, Power BI, PyTorch","AWS, Airflow, Azure, Node.js, NumPy, Pandas, PyTorch, React, Scikit-learn, Tableau",Masters,6.0,3.0,1.0,0.69,"CI/CD, Excel, Hadoop, Power BI"
FIT0280,"AWS, Azure, CI/CD, Hadoop, Node.js, TensorFlow","CI/CD, Docker, GCP, Git, Node.js, React",PhD,1.8,2.0,0.0,0.464,
FIT0281,"ETL, GCP, GraphQL, Spark, TypeScript","Django, ETL, GCP, Hadoop, JavaScript, NumPy, SQL",PhD,3.1,2.0,0.0,0.503,"GraphQL, Spark, TypeScript"
FIT0282,"Airflow, Django, ETL, GraphQL, Linux, Spark","AWS, Flask, GraphQL, NumPy, Python, SQL, TensorFlow",Bachelors,1.4,1.0,0.0,0.292,"Airflow, Django, ETL, Linux, Spark"
FIT0283,"Azure, CI/CD, ETL, Java, TensorFlow","Azure, NumPy, R, Scikit-learn, Tableau, TensorFlow",Bachelors,3.2,2.0,0.0,0.446,"CI/CD, ETL, Java"
FIT0284,"Docker, Excel, GraphQL, Hadoop, Pandas, React, Scikit-learn","CI/CD, Flask, NumPy, TensorFlow",Bachelors,3.7,0.0,0.0,,"Docker, Excel, GraphQL, Hadoop, Pandas, React, Scikit-learn"
,"Docker, Git, JavaScript, Python, Tableau","ETL, JavaScript, Node.js, R, REST, SQL, Spark, Tableau, TensorFlow, TypeScript",Bachelors,8.4,,1.0,0.602,"Docker, Git, Python"
FIT0286,"AWS, Azure, PyTorch, R, TensorFlow, TypeScript","ETL, GraphQL, Hadoop, Node.js, NumPy, Power BI, REST, SQL, Scikit-learn, Tableau",,4.2,0.0,0.0,0.276,"AWS, Azure, PyTorch, R, TensorFlow, TypeScript"
FIT0287,"Azure, Excel, Node.js, Pandas, Tableau","Docker, Excel, Flask, Git, Kubernetes, Linux, NumPy, R, SQL, Tableau",Bachelors,4.5,2.0,0.0,0.485,"Azure, Node.js, Pandas"
fit0288,"aws, azure, etl, hadoop, linux, pandas, python, typescript","ci/cd, docker, etl, graphql, kubernetes, pandas, power bi, pytorch, spark",bachelors,0.2,2.0,0.0,0.356,"aws, azure, hadoop, linux, python, typescript"
FIT0289,"GraphQL, Java, JavaScript, Pandas, PyTorch, R, REST, SQL","Docker, ETL, Excel, Java, JavaScript, PyTorch, Scikit-learn, TensorFlow, TypeScript",Bachelors,3.8,3.0,0.0,0.564,"GraphQL, Pandas, R, REST, SQL"
FIT0290,"AWS, CI/CD, Java, Power BI, React, Spark","AWS, GCP, Linux, React",Bachelors,3.6,2.0,0.0,0.458,"CI/CD, Java, Power BI, Spark"
FIT0291,"Airflow, Azure, ETL, Flask, Python, Spark","CI/CD, Docker, ETL, Kubernetes, SQL, Spark",Bachelors,6.3,2.0,0.0,0.539,"Airflow, Azure, Flask, Python"
FIT0292,"Excel, GCP, Git, Java, Power BI, Python","Flask, Node.js, Pandas, SQL, TypeScript",No Degree,2.8,0.0,0.0,0.234,"Excel, GCP, Git, Java, Power BI, Python"
FIT0293,"Flask, Linux, NumPy, Python, React","CI/CD, Docker, ETL, Git, Kubernetes, R, REST, SQL, TensorFlow, TypeScript",Bachelors,4.7,0.0,1.0,0.291,"Flask, Linux, NumPy, Python, React"
FIT0294,"Airflow, Django, Docker, ETL, GCP, Scikit-learn, Spark","Airflow, Azure, CI/CD, Hadoop, Java, R, Spark",Bachelors,3.8,2.0,0.0,0.464,"Django, Docker, ETL, GCP, Scikit-learn"
FIT0295,"Excel, GraphQL, Power BI, R, SQL","Azure, Flask, Java, PyTorch, REST, Spark, Tableau, TensorFlow",Bachelors,3.1,0.0,0.0,0.243,"Excel, GraphQL, Power BI, R, SQL"
FIT0296,"CI/CD, Excel, Kubernetes, Linux, Node.js, PyTorch, React","AWS, Flask, GraphQL, Hadoop, Node.js, NumPy, R, Scikit-learn, Spark",Masters,3.9,1.0,1.0,0.427,"CI/CD, Excel, Kubernetes, Linux, PyTorch, React"
FIT0297,"Django, ETL, Flask, Java, Linux, Power BI, REST, React","Flask, Java, Linux, Node.js, SQL, Spark, TensorFlow",Bachelors,5.7,3.0,1.0,0.621,"Django, ETL, Power BI, REST, React"
FIT0298,"ETL, GCP, Hadoop, Kubernetes, Linux, PyTorch, React, TypeScript","GraphQL, Java, NumPy, Pandas, Python, R, Spark, TypeScript",Bachelors,2.3,1.0,0.0,0.319,"ETL, GCP, Hadoop, Kubernetes, Linux, PyTorch, React"
FIT0299,"AWS, GCP, Git, JavaScript, Tableau","AWS, Django, Hadoop, Pandas, PyTorch, SQL, Spark, TypeScript",Bachelors,2.2,1.0,1.0,0.316,"GCP, Git, JavaScript, Tableau"
FIT0300,"CI/CD, Git, PyTorch, Python, TensorFlow","AWS, ETL, JavaScript, Node.js, Pandas, PyTorch, R, SQL",Bachelors,5.0,1.0,1.0,0.4,"CI/CD, Git, Python, TensorFlow"
FIT0301,"Airflow, Docker, Flask, Hadoop, Java","ETL, Git, Python, SQL",Bachelors,1.7,0.0,1.0,0.201,"Airflow, Docker, Flask, Hadoop, Java"
FIT0302,"Airflow, Docker, Excel, Flask, GCP, Hadoop, R, TensorFlow","AWS, Azure, CI/CD, Docker, JavaScript, NumPy, Pandas, Power BI, R, Spark",Masters,2.0,2.0,1.0,0.47,
FIT0303,"CI/CD, Docker, ETL, GCP, Pandas, Power BI, Python, Spark","Flask, Git, Kubernetes, Linux, Node.js, Python, React, Scikit-learn, TensorFlow",Masters,4.5,1.0,0.0,0.445,"CI/CD, Docker, ETL, GCP, Pandas, Power BI, Spark"
FIT0304,"AWS, ETL, Git, Hadoop, Power BI, React, Spark","ETL, Git, Pandas, Power BI, PyTorch, REST",PhD,0.0,3.0,,0.51,"AWS, Hadoop, React, Spark"
FIT0305,"AWS, Django, Excel, Hadoop, JavaScript, PyTorch, TypeScript","AWS, Airflow, Django, Docker, Flask, Pandas, Python, Tableau, TensorFlow, TypeScript",Bachelors,6.6,3.0,1.0,0.648,"Excel, Hadoop, JavaScript, PyTorch"
FIT0306,"AWS, Airflow, Django, Pandas, SQL, Spark","Airflow, JavaScript, R, Tableau",Bachelors,5.8,1.0,0.0,0.424,"AWS, Django, Pandas, SQL, Spark"
FIT0307,"AWS, Azure, GCP, GraphQL, JavaScript, REST, TensorFlow","Docker, ETL, Excel, React, Tableau, TypeScript",Bachelors,4.2,0.0,1.0,0.276,"AWS, Azure, GCP, GraphQL, JavaScript, REST, TensorFlow"
FIT0308,"AWS, NumPy, Pandas, Power BI, SQL","Docker, ETL, Kubernetes, Linux, NumPy",Bachelors,2.0,1.0,1.0,0.31,"AWS, Pandas, Power BI, SQL"
FIT0309,"Hadoop, JavaScript, Linux, Node.js, PyTorch, Spark","Docker, GraphQL, Hadoop, Kubernetes, Node.js",Bachelors,3.3,2.0,1.0,0.449,"JavaScript, Linux, PyTorch, Spark"
FIT0310,"Airflow, Azure, Django, Kubernetes, PyTorch, Python, React","Azure, CI/CD, Java, Node.js, Pandas, REST, Scikit-learn, Spark, TypeScript",Bachelors,5.1,1.0,0.0,0.403,"Airflow, Django, Kubernetes, PyTorch, Python, React"
FIT0311,"Django, ETL, Flask, Git, R, REST, Spark","AWS, Flask, Hadoop, JavaScript, Kubernetes, Power BI, SQL, Scikit-learn, Tableau",Bachelors,3.0,1.0,1.0,0.34,"Django, ETL, Git, R, REST, Spark"
FIT0312,,"Airflow, JavaScript, NumPy, PyTorch, REST, React, SQL",Bachelors,6.7,2.0,0.0,0.551,"CI/CD, Docker, Git, GraphQL, Scikit-learn, Spark"
FIT0313,"AWS, Excel, Kubernetes, Linux, React","Azure, Django, Docker, ETL, Git, NumPy, R, TensorFlow, TypeScript",Bachelors,3.8,0.0,0.0,0.264,"AWS, Excel, Kubernetes, Linux, React"
FIT0314,"AWS, Docker, Git, NumPy, TensorFlow","CI/CD, Git, GraphQL, Linux, Node.js, PyTorch, React, TensorFlow, TypeScript",Bachelors,6.5,2.0,0.0,0.545,"AWS, Docker, NumPy"
FIT0315,"Java, Kubernetes, Linux, Node.js, REST, SQL, TensorFlow","Azure, CI/CD, GCP, Scikit-learn",Bachelors,3.8,0.0,0.0,0.264,"Java, Kubernetes, Linux, Node.js, REST, SQL, TensorFlow"
FIT0316,"Airflow, CI/CD, Kubernetes, Pandas, PyTorch, R, Tableau","Airflow, CI/CD, Docker, GraphQL, Hadoop, Linux, SQL, TensorFlow",Bachelors,0.0,2.0,0.0,0.35,"Kubernetes, Pandas, PyTorch, R, Tableau"
FIT0317,"Docker, JavaScript, Kubernetes, NumPy, Pandas, Scikit-learn, TypeScript","Linux, Scikit-learn, Tableau, TensorFlow, TypeScript",No Degree,0.6,2.0,1.0,0.368,"Docker, JavaScript, Kubernetes, NumPy, Pandas"
FIT0318,"Flask, Git, GraphQL, PyTorch, REST, TypeScript","JavaScript, NumPy, R, REST, React",Bachelors,4.9,1.0,0.0,0.397,"Flask, Git, GraphQL, PyTorch, TypeScript"
FIT0319,"AWS, Azure, Docker, GraphQL, Power BI, Tableau","REST, SQL, Spark, TypeScript",Bachelors,6.3,0.0,1.0,0.339,"AWS, Azure, Docker, GraphQL, Power BI, Tableau"
FIT0320,"AWS, Airflow, Docker, Excel, REST, Tableau","AWS, Azure, Flask, GraphQL, Node.js, NumPy, R, Scikit-learn, Spark",Masters,5.1,1.0,0.0,0.463,"Airflow, Docker, Excel, REST, Tableau"
FIT0321,"Django, Excel, REST, Scikit-learn, Spark, Tableau, TensorFlow","Node.js, NumPy, R, Spark",Bachelors,3.4,1.0,0.0,0.352,"Django, Excel, REST, Scikit-learn, Tableau, TensorFlow"
FIT0322,"Django, ETL, Git, Java, NumPy, Spark","Hadoop, Java, Node.js, NumPy, Pandas",Masters,7.0,2.0,0.0,0.62,"Django, ETL, Git, Spark"
FIT0323,"AWS, Docker, GraphQL, Java, Linux, Power BI, React, Spark","Django, Excel, Hadoop, Java, Kubernetes, Node.js, Power BI, REST, React, Scikit-learn",Bachelors,1.3,3.0,1.0,0.489,"AWS, Docker, GraphQL, Linux, Spark"
FIT0324,"Flask, GCP, Java, Power BI, REST, TypeScript","Airflow, Azure, CI/CD, Git, Python, R, Scikit-learn, TensorFlow, TypeScript",Bachelors,5.2,1.0,0.0,0.406,"Flask, GCP, Java, Power BI, REST"
FIT0325,"Azure, Excel, Flask, Hadoop, JavaScript, Python, R, TypeScript","ETL, Excel, GraphQL, PyTorch",Masters,5.8,,0.0,0.484,"Azure, Flask, Hadoop, JavaScript, Python, R, TypeScript"
FIT0326,"GCP, Git, Java, Linux, Spark, Tableau","AWS, Airflow, ETL, Excel, GraphQL, Hadoop, NumPy, React, Tableau",Masters,6.4,1.0,0.0,0.502,"GCP, Git, Java, Linux, Spark"
FIT0327,"AWS, Django, GCP, Hadoop, JavaScript, REST, Tableau","AWS, Docker, Excel, GCP, JavaScript, Linux, Python, SQL, Scikit-learn, Tableau",Bachelors,1.0,4.0,0.0,0.58,"Django, Hadoop, REST"
FIT0328,"Docker, ETL, Flask, GCP, Java, Power BI, R, TypeScript","ETL, Linux, REST, React, SQL, Scikit-learn, Spark",Bachelors,3.4,1.0,0.0,0.352,"Docker, Flask, GCP, Java, Power BI, R, TypeScript"
FIT0329,"Excel, GraphQL, Hadoop, Java, Pandas, Power BI, PyTorch","AWS, Excel, Linux, R",Bachelors,1.0,1.0,0.0,0.28,"GraphQL, Hadoop, Java, Pandas, Power BI, PyTorch"
FIT0330,"Airflow, JavaScript, NumPy, Power BI, Scikit-learn","Airflow, CI/CD, Django, Excel, Git, Linux, R, React, Spark, TensorFlow",Bachelors,3.5,1.0,0.0,0.355,"JavaScript, NumPy, Power BI, Scikit-learn"
FIT0331,"Hadoop, Kubernetes, React, TensorFlow, TypeScript","AWS, Django, Flask, GraphQL, PyTorch, R, REST, React, TensorFlow",Bachelors,4.4,2.0,0.0,0.482,"Hadoop, Kubernetes, TypeScript"
FIT0332,"Django, ETL, GCP, Git, Java, Linux, PyTorch, R","Django, Excel, Flask, GraphQL, Hadoop, Scikit-learn, Tableau",Masters,0.6,1.0,1.0,0.328,"ETL, GCP, Git, Java, Linux, PyTorch, R"
FIT0333,"AWS, Power BI, REST, Scikit-learn, Spark, Tableau","Azure, Excel, Hadoop, NumPy, R, Tableau",Bachelors,4.6,1.0,0.0,0.388,"AWS, Power BI, REST, Scikit-learn, Spark"
FIT0334,"ETL, Flask, Kubernetes, NumPy, Power BI, Scikit-learn, TypeScript","Django, Docker, Git, Linux, TensorFlow",Bachelors,2.2,0.0,1.0,0.216,"ETL, Flask, Kubernetes, NumPy, Power BI, Scikit-learn, TypeScript"
FIT0335,"Azure, Node.js, NumPy, Power BI, SQL","Django, Docker, ETL, Scikit-learn, Tableau",Masters,0.5,0.0,0.0,0.225,"Azure, Node.js, NumPy, Power BI, SQL"
FIT0336,,"Airflow, Azure, ETL, PyTorch, Python, Spark, TypeScript",Masters,2.5,3.0,0.0,0.585,"AWS, GraphQL, Node.js"
FIT0337,"Django, Flask, Kubernetes, Python, React, Scikit-learn, TypeScript","Azure, Django, Flask, GCP, Git, GraphQL, Java, R, React, TensorFlow",Bachelors,1.2,3.0,0.0,0.486,"Kubernetes, Python, Scikit-learn, TypeScript"
fit0338,"aws, docker, javascript, kubernetes, linux, node.js, r, tensorflow","airflow, ci/cd, etl, numpy",bachelors,4.3,0.0,0.0,0.279,"aws, docker, javascript, kubernetes, linux, node.js, r, tensorflow"
FIT0339,"GCP, Git, REST, React, Spark","Django, ETL, Excel, Flask, GCP, Git, Java, Power BI, TypeScript",Bachelors,2.7,2.0,1.0,0.431,"REST, React, Spark"
FIT0340,"Airflow, CI/CD, GCP, Git, Kubernetes, Power BI, Python","Airflow, CI/CD, Hadoop, Pandas, REST",Bachelors,2.5,2.0,0.0,0.425,"GCP, Git, Kubernetes, Power BI, Python"
FIT0341,"Django, GraphQL, Java, Node.js, Pandas, SQL, Spark","Django, Flask, Hadoop, NumPy, PyTorch, Python, SQL, Spark",Bachelors,3.1,3.0,0.0,0.543,"GraphQL, Java, Node.js, Pandas"
FIT0342,"AWS, Hadoop, Power BI, R, React, SQL, TensorFlow, TypeScript","Hadoop, Linux, Node.js, Power BI, R, Spark, Tableau, TypeScript",Bachelors,3.1,4.0,0.0,0.643,"AWS, React, SQL, TensorFlow"
FIT0343,,"Azure, ETL, Excel, Flask, GCP, Node.js, R, SQL",Masters,4.1,2.0,0.0,0.533,"Django, JavaScript, Linux, REST, Scikit-learn, TensorFlow"
FIT0344,"Azure, Power BI, PyTorch, REST, React, TypeScript","CI/CD, Hadoop, Linux, Power BI, SQL",Bachelors,5.3,1.0,1.0,0.409,"Azure, PyTorch, REST, React, TypeScript"
FIT0345,"Airflow, Azure, GCP, Linux, Python, React","AWS, Azure, ETL, GCP, Git, Java, Linux, Scikit-learn, TypeScript",Bachelors,8.0,3.0,0.0,0.69,
FIT0346,"AWS, Azure, CI/CD, Django, Linux, PyTorch, TypeScript",,PhD,4.1,2.0,0.0,0.533,"AWS, Azure, Django, Linux, PyTorch"
FIT0347,"ETL, Hadoop, Node.js, PyTorch, R, SQL","Git, JavaScript, Linux, Node.js, NumPy, Pandas, Scikit-learn",No Degree,2.1,1.0,0.0,0.313,"ETL, Hadoop, PyTorch, R, SQL"
FIT0348,"Airflow, GCP, Java, Pandas, React, SQL","AWS, Git, Node.js, Power BI",Bachelors,2.2,0.0,0.0,0.216,"Airflow, GCP, Java, Pandas, React, SQL"
FIT0349,"ETL, GCP, JavaScript, Pandas, R, Spark, TensorFlow, TypeScript","Airflow, Django, Excel, Flask, GCP, GraphQL, Pandas, REST",Bachelors,4.6,2.0,1.0,0.488,"ETL, JavaScript, R, Spark, TensorFlow, TypeScript"
FIT0350,"Docker, Excel, JavaScript, NumPy, Python, SQL, TypeScript","Git, JavaScript, NumPy, REST, React, Spark",Bachelors,0.5,2.0,1.0,0.365,"Docker, Excel, Python, SQL, TypeScript"
FIT0351,"AWS, Docker, Hadoop, NumPy, Python, Scikit-learn","Airflow, Django, Java, Linux, SQL",PhD,3.5,0.0,1.0,0.315,"AWS, Docker, Hadoop, NumPy, Python, Scikit-learn"
FIT0352,"Hadoop, JavaScript, NumPy, R, REST, Scikit-learn, TypeScript","AWS, CI/CD, ETL, Flask, PyTorch, Python, R, Spark, TensorFlow",Bachelors,,1.0,0.0,0.451,"Hadoop, JavaScript, NumPy, REST, Scikit-learn, TypeScript"
FIT0353,"Flask, GraphQL, Hadoop, Node.js, Spark","Airflow, PyTorch, Tableau, TensorFlow",Bachelors,0.4,0.0,0.0,0.162,"Flask, GraphQL, Hadoop, Node.js, Spark"
FIT0354,"CI/CD, Django, GCP, Kubernetes, REST, Spark","AWS, GCP, Hadoop, Kubernetes, Python, R, Spark",Masters,4.4,3.0,1.0,0.642,
FIT0355,"Django, GraphQL, NumPy, Power BI, REST, React, SQL, Scikit-learn","AWS, Airflow, Java, Kubernetes, Linux, NumPy, Pandas, PyTorch, TypeScript",Bachelors,4.9,1.0,0.0,0.397,"Django, GraphQL, Power BI, REST, React, SQL, Scikit-learn"
FIT0356,"Azure, CI/CD, Flask, Java, Power BI, PyTorch, Scikit-learn","Excel, GCP, GraphQL, Pandas, Power BI, SQL, Tableau",Bachelors,0.5,,1.0,0.265,
FIT0357,"Airflow, ETL, Excel, GCP, GraphQL","AWS, Airflow, Docker, Flask, Spark, TensorFlow",Bachelors,0.9,1.0,1.0,0.277,"ETL, Excel, GCP, GraphQL"
FIT0358,"CI/CD, Excel, GCP, Git, Node.js, TensorFlow","Excel, GCP, Scikit-learn, TypeScript",Bachelors,3.0,2.0,1.0,0.44,"CI/CD, Git, Node.js, TensorFlow"
FIT0359,"Excel, GCP, JavaScript, Power BI, React, SQL, Scikit-learn, Spark",,Masters,1.6,0.0,0.0,0.258,"Excel, GCP, JavaScript, Power BI, React, SQL, Scikit-learn, Spark"
FIT0360,"AWS, Kubernetes, Python, SQL, Scikit-learn","AWS, Django, Java, React, SQL, Tableau",Bachelors,1.5,2.0,1.0,0.395,"Kubernetes, Python, Scikit-learn"
FIT0361,"Airflow, Azure, ETL, Java, Linux, R, Spark","Docker, Excel, Flask, GraphQL",,0.7,0.0,1.0,0.171,"Airflow, Azure, ETL, Java, Linux, R, Spark"
FIT0362,"CI/CD, Git, Hadoop, JavaScript, React, TypeScript","Excel, GCP, Node.js, SQL, Scikit-learn, TensorFlow",Bachelors,2.3,0.0,0.0,0.219,"CI/CD, Git, Hadoop, JavaScript, React, TypeScript"
FIT0363,"Airflow, Django, JavaScript, Linux, NumPy, Pandas, Power BI","AWS, GraphQL, Java, Node.js, NumPy, Pandas, PyTorch, React",Bachelors,2.6,2.0,0.0,0.428,"Airflow, Django, JavaScript, Linux, Power BI"
FIT0364,"Excel, Hadoop, Node.js, PyTorch, React","Airflow, Django, Linux, Node.js",Masters,4.4,1.0,1.0,0.442,"Excel, Hadoop, PyTorch, React"
FIT0365,"Kubernetes, Linux, NumPy, Power BI, Spark","Azure, Django, Docker, Excel, Git, Java, JavaScript, PyTorch, REST",PhD,6.7,0.0,,0.411,"Kubernetes, Linux, NumPy, Power BI, Spark"
FIT0366,"Airflow, Docker, GCP, Git, Linux, NumPy, Python, SQL","Django, Git, Kubernetes, NumPy, Python, REST, TypeScript",PhD,6.6,3.0,1.0,0.708,"Airflow, Docker, GCP, Linux, SQL"
FIT0367,"CI/CD, Excel, GraphQL, Node.js, Tableau, TypeScript","ETL, GCP, GraphQL, Hadoop, Python",Bachelors,3.1,1.0,0.0,0.343,"CI/CD, Excel, Node.js, Tableau, TypeScript"
FIT0368,"Azure, Flask, GraphQL, Java, NumPy, PyTorch, SQL, Spark","AWS, Azure, JavaScript, SQL, Scikit-learn, Spark",PhD,5.1,3.0,1.0,0.663,"Flask, GraphQL, Java, NumPy, PyTorch"
FIT0369,"AWS, Java, NumPy, React, Spark","Excel, GraphQL, Pandas, PyTorch",Bachelors,4.6,0.0,0.0,0.288,"AWS, Java, NumPy, React, Spark"
FIT0370,"CI/CD, Django, Excel, GraphQL, Linux, Node.js, PyTorch",,Bachelors,4.4,1.0,0.0,0.382,"CI/CD, Django, Excel, GraphQL, Node.js, PyTorch"
FIT0371,"Docker, Java, NumPy, Pandas, Power BI, REST, Spark, Tableau","Airflow, ETL, Flask, Java, Kubernetes, REST, SQL, Scikit-learn, Tableau",Bachelors,0.6,3.0,0.0,0.468,"Docker, NumPy, Pandas, Power BI, Spark"
FIT0372,"AWS, ETL, Node.js, NumPy, Scikit-learn","Azure, Django, Docker, ETL, GraphQL, Linux, PyTorch, SQL",Bachelors,0.1,1.0,0.0,0.253,"AWS, Node.js, NumPy, Scikit-learn"
FIT0373,"CI/CD, Docker, GCP, JavaScript, Linux, Python, React, TensorFlow","AWS, Airflow, Azure, Django, Flask, Git, Java, PyTorch, R, SQL",Bachelors,1.8,0.0,0.0,0.204,"CI/CD, Docker, GCP, JavaScript, Linux, Python, React, TensorFlow"
